booking_id,customer_id,driver_id,city,pickup_datetime,vehicle_type,distance_km,fare,payment_method,booking_status,cancellation_reason
BK000001,CUST01592,DRV0115,Bengaluru,2025-05-09 16:14:02,Bike,4.6,38.16,UPI,Completed,
BK000002,CUST01070,DRV0131,Hyderabad,2025-01-20 14:13:01,Auto,6.8,79.19,Ola Money,Completed,
BK000003,CUST00470,DRV0032,Chennai,2025-10-22 00:08:05,Sedan,7.9,0.0,,Cancelled by Driver,Personal emergency
BK000004,CUST00458,DRV0102,Mumbai,2025-09-02 15:52:34,Bike,5.0,52.12,UPI,Completed,
BK000005,CUST00862,DRV0015,Pune,2025-10-04 08:13:22,Bike,4.4,0.0,,Cancelled by Driver,Personal emergency
BK000006,CUST01397,DRV0072,Mumbai,2025-03-04 20:39:09,Sedan,4.8,0.0,,No Driver Found,
BK000007,CUST01269,DRV0319,Hyderabad,2025-06-20 11:01:32,Auto,7.9,93.12,UPI,Completed,
BK000008,CUST00841,DRV0225,Bengaluru,2025-07-07 19:27:54,Sedan,1.8,60.8,Ola Money,Completed,
BK000009,CUST01549,DRV0114,Delhi,2025-05-29 23:35:07,Prime SUV,6.7,143.39,Ola Money,Completed,
BK000010,CUST01122,DRV0040,Chennai,2025-12-05 06:57:15,Prime SUV,7.0,151.97,UPI,Completed,
BK000011,CUST00313,DRV0129,Bengaluru,2025-11-19 13:04:49,Auto,6.2,0.0,,Cancelled by Customer,Price too high
BK000012,CUST00034,DRV0190,Delhi,2025-04-08 05:05:42,Prime SUV,4.5,96.57,Debit Card,Completed,
BK000013,CUST01206,DRV0090,Bengaluru,2025-05-03 17:48:44,Auto,9.1,0.0,,Cancelled by Customer,Changed plans
BK000014,CUST01416,DRV0249,Mumbai,2025-09-13 19:26:24,Bike,2.4,0.0,,Cancelled by Customer,Found alternate ride
BK000015,CUST00392,DRV0154,Pune,2025-01-19 12:21:10,Prime SUV,1.6,0.0,,Cancelled by Customer,Found alternate ride
BK000016,CUST01440,DRV0244,Hyderabad,2025-07-27 04:18:11,Mini,9.3,118.65,Debit Card,Completed,
BK000017,CUST01661,DRV0115,Pune,2025-08-23 19:32:08,Bike,4.5,41.47,UPI,Completed,
BK000018,CUST00278,DRV0345,Delhi,2025-01-19 05:09:18,Auto,3.8,58.87,Debit Card,Completed,
BK000019,CUST01186,DRV0187,Chennai,2025-01-24 08:50:08,Bike,3.9,54.44,Credit Card,Completed,
BK000020,CUST00921,DRV0024,Chennai,2025-11-20 01:49:08,Sedan,3.5,0.0,,Cancelled by Customer,Found alternate ride
BK000021,CUST01341,DRV0101,Delhi,2025-08-22 22:15:14,Mini,5.0,70.12,UPI,Completed,
BK000022,CUST01732,DRV0013,Delhi,2025-02-28 18:06:01,Sedan,0.8,39.05,UPI,Completed,
BK000023,CUST00521,DRV0075,Delhi,2025-04-14 15:31:04,Auto,5.6,0.0,,Cancelled by Customer,Price too high
BK000024,CUST00471,DRV0350,Chennai,2025-06-16 04:23:53,Prime SUV,6.1,155.18,Credit Card,Completed,
BK000025,CUST00356,DRV0314,Bengaluru,2025-06-14 07:45:48,Prime SUV,1.8,67.13,Cash,Completed,
BK000026,CUST00520,DRV0246,Hyderabad,2025-02-02 04:23:46,Prime SUV,12.9,263.32,Credit Card,Completed,
BK000027,CUST01382,DRV0102,Pune,2025-12-23 13:28:07,Bike,2.7,42.8,Debit Card,Completed,
BK000028,CUST00986,DRV0199,Delhi,2025-01-21 04:51:21,Mini,8.0,0.0,,Cancelled by Customer,App issue
BK000029,CUST00407,DRV0105,Bengaluru,2025-07-12 05:44:37,Mini,3.5,48.97,UPI,Completed,
BK000030,CUST01199,DRV0247,Hyderabad,2025-01-04 06:31:56,Auto,2.9,63.88,Debit Card,Completed,
BK000031,CUST01033,DRV0323,Chennai,2025-05-26 15:09:15,Auto,1.7,0.0,,Cancelled by Customer,Price too high
BK000032,CUST01528,DRV0113,Chennai,2025-12-21 04:37:12,Prime SUV,1.5,44.68,Debit Card,Completed,
BK000033,CUST00532,DRV0164,Chennai,2025-08-19 15:00:05,Sedan,6.8,112.38,UPI,Completed,
BK000034,CUST01456,DRV0227,Pune,2025-11-02 06:33:13,Auto,5.9,84.62,UPI,Completed,
BK000035,CUST00461,DRV0065,Hyderabad,2025-11-18 10:57:58,Bike,2.2,33.64,Credit Card,Completed,
BK000036,CUST00041,DRV0036,Delhi,2025-04-09 04:16:41,Prime SUV,7.0,0.0,,No Driver Found,
BK000037,CUST00812,DRV0350,Delhi,2025-11-13 13:10:35,Prime SUV,7.7,0.0,,No Driver Found,
BK000038,CUST01285,DRV0070,Bengaluru,2025-09-17 07:59:00,Auto,9.7,111.23,Credit Card,Completed,
BK000039,CUST00708,DRV0024,Bengaluru,2025-05-22 01:55:55,Sedan,2.2,0.0,,Cancelled by Customer,Price too high
BK000040,CUST01004,DRV0186,Pune,2025-09-12 06:25:11,Sedan,1.8,0.0,,Cancelled by Driver,Customer not reachable
BK000041,CUST00995,DRV0159,Chennai,2025-11-27 13:15:35,Prime SUV,5.1,115.45,Cash,Completed,
BK000042,CUST00955,DRV0226,Delhi,2025-11-12 16:29:54,Prime SUV,5.5,115.8,Debit Card,Completed,
BK000043,CUST01587,DRV0175,Delhi,2025-04-01 05:45:15,Prime SUV,5.9,145.66,UPI,Completed,
BK000044,CUST00460,DRV0061,Hyderabad,2025-02-06 08:34:01,Prime SUV,3.5,98.14,Cash,Completed,
BK000045,CUST01600,DRV0179,Chennai,2025-08-03 07:14:10,Prime SUV,5.2,0.0,,Cancelled by Customer,Driver took too long
BK000046,CUST00860,DRV0261,Chennai,2025-02-26 11:52:26,Mini,7.7,101.53,Ola Money,Completed,
BK000047,CUST00253,DRV0019,Delhi,2025-04-13 13:40:21,Auto,4.5,77.24,Debit Card,Completed,
BK000048,CUST00432,DRV0119,Chennai,2025-09-06 01:58:42,Auto,0.8,43.91,Debit Card,Completed,
BK000049,CUST01449,DRV0087,Pune,2025-08-21 06:28:58,Prime SUV,5.5,126.12,Credit Card,Completed,
BK000050,CUST00258,DRV0160,Mumbai,2025-11-20 13:03:21,Auto,3.5,70.77,Credit Card,Completed,
BK000051,CUST00558,DRV0174,Bengaluru,2025-01-17 20:42:16,Sedan,4.6,76.19,Ola Money,Completed,
BK000052,CUST00099,DRV0023,Hyderabad,2025-08-23 15:13:37,Sedan,6.7,108.94,Cash,Completed,
