review_id,booking_id,customer_id,driver_id,review_text,star_rating,review_date
REV000001,BK000004,CUST00458,DRV0102,"Decent ride but the driver took a longer route than necessary, added to the fare.",4,2025-09-03 11:52:34
REV000002,BK000007,CUST01269,DRV0319,"Excellent service, driver helped with my luggage and was very professional.",5,2025-06-20 23:01:32
REV000003,BK000010,CUST01122,DRV0040,AC wasn't working properly but driver was courteous. Fare was reasonable for 7.0km.,4,2025-12-06 09:57:15
REV000004,BK000012,CUST00034,DRV0190,"Excellent service, driver helped with my luggage and was very professional.",5,2025-04-08 12:05:42
REV000005,BK000016,CUST01440,DRV0244,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-07-27 15:18:11
REV000006,BK000017,CUST01661,DRV0115,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-08-25 14:32:08
REV000007,BK000018,CUST00278,DRV0345,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,4,2025-01-19 18:09:18
REV000008,BK000024,CUST00471,DRV0350,"Good experience overall, vehicle was in good condition. Driver knew the Chennai routes well.",5,2025-06-17 13:23:53
REV000009,BK000026,CUST00520,DRV0246,"Excellent service, driver helped with my luggage and was very professional.",5,2025-02-02 08:23:46
REV000010,BK000027,CUST01382,DRV0102,"Average ride, nothing special but no complaints either. On time pickup.",3,2025-12-25 01:28:07
REV000011,BK000029,CUST00407,DRV0105,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-07-12 11:44:37
REV000012,BK000034,CUST01456,DRV0227,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-11-03 08:33:13
REV000013,BK000035,CUST00461,DRV0065,AC wasn't working properly but driver was courteous. Fare was reasonable for 2.2km.,4,2025-11-19 13:57:58
REV000014,BK000043,CUST01587,DRV0175,"Smooth ride, driver took the flyover route which saved time. Would book again.",4,2025-04-01 08:45:15
REV000015,BK000047,CUST00253,DRV0019,"Excellent service, driver helped with my luggage and was very professional.",4,2025-04-15 08:40:21
REV000016,BK000049,CUST01449,DRV0087,"Good experience overall, vehicle was in good condition. Driver knew the Pune routes well.",5,2025-08-21 22:28:58
REV000017,BK000050,CUST00258,DRV0160,"Good experience overall, vehicle was in good condition. Driver knew the Mumbai routes well.",5,2025-11-20 22:03:21
REV000018,BK000058,CUST00078,DRV0110,"Decent ride but the driver took a longer route than necessary, added to the fare.",3,2025-03-20 18:53:16
REV000019,BK000059,CUST01000,DRV0173,"Average ride, nothing special but no complaints either. On time pickup.",4,2025-01-22 06:08:09
REV000020,BK000061,CUST01440,DRV0325,Driver was a bit late by 10 mins but called ahead to inform. Drive was safe and smooth.,3,2025-08-21 21:01:58
